num,time,result,l1,l1x,l2,l2x,l3
14135,2014-11-17,20 26 28 30 35 09 12,160,"5,536","119,208",2,0
14134,2014-11-15,02 05 07 11 32 09 12,108,"8,594","186,900",2,0
14133,2014-11-12,02 08 12 14 18 04 12,168,"7,492","168,906",2,1
14132,2014-11-10,01 03 04 19 32 01 07,77,"6,061","129,147",2,0
14131,2014-11-08,03 16 19 23 27 03 07,358,"11,175","215,553",2,1
14130,2014-11-05,02 18 31 32 33 05 07,292,"11,586","214,083",3,1
14129,2014-11-03,07 22 28 30 32 05 06,147,"9,587","203,029",1,0
14128,2014-11-01,02 04 16 22 34 08 11,286,"8,036","147,092",2,0
14127,2014-10-29,02 04 06 15 19 02 11,206,"5,431","116,404",3,2
14126,2014-10-27,02 09 22 30 34 09 10,101,"7,819","165,716",1,0
14125,2014-10-25,12 15 19 23 31 04 10,377,"12,226","211,415",2,1
14124,2014-10-22,01 03 28 29 35 08 12,87,"6,083","121,849",4,2
14123,2014-10-20,01 09 12 22 25 02 09,263,"9,944","173,798",3,1
14122,2014-10-18,03 10 25 26 35 01 07,283,"11,739","198,473",2,1
14121,2014-10-15,13 16 18 22 32 08 10,211,"8,635","162,652",3,2
14120,2014-10-13,01 04 06 18 33 05 11,86,"5,613","109,167",2,0
14119,2014-10-11,04 08 09 13 18 08 12,221,"10,064","210,942",1,0
14118,2014-10-08,02 03 23 24 26 05 11,155,"6,843","135,683",0,0
14117,2014-10-06,03 14 17 18 33 06 09,328,"10,040","169,078",2,0
14116,2014-10-04,06 13 15 24 27 04 05,268,"6,122","133,647",1,0
14115,2014-10-01,01 05 26 29 30 02 10,164,"4,692","101,030",2,1
14114,2014-09-29,03 16 24 30 33 05 08,431,"11,561","189,944",4,2
14113,2014-09-27,02 13 17 19 23 01 06,279,"9,785","177,707",5,1
14112,2014-09-24,03 05 14 18 32 02 10,139,"5,151","114,459",2,1
14111,2014-09-22,11 16 18 20 29 03 04,119,"5,862","122,726",0,0
14110,2014-09-20,09 18 19 22 24 08 11,201,"8,401","157,247",1,1
14109,2014-09-17,15 18 20 21 23 01 02,205,"4,797","96,586",5,0
14108,2014-09-15,01 02 13 23 35 09 12,183,"7,084","132,423",1,1
14107,2014-09-13,05 13 14 21 34 08 10,170,"6,658","124,859",1,0
14106,2014-09-10,05 09 11 20 22 05 11,211,"8,188","156,167",1,0
14105,2014-09-08,04 10 26 29 32 04 08,210,"6,943","128,537",2,0
14104,2014-09-06,07 13 14 28 32 04 11,191,"6,800","134,327",5,1
14103,2014-09-03,14 20 23 25 26 10 12,128,"5,008","103,792",1,0
14102,2014-09-01,01 07 14 19 20 03 12,324,"7,967","147,907",3,1
14101,2014-08-30,09 10 12 17 28 03 11,153,"9,577","169,150",0,0
14100,2014-08-27,02 04 08 12 35 01 07,92,"3,848","81,483",2,1
14099,2014-08-25,15 21 22 23 33 01 07,104,"5,768","105,138",3,0
14098,2014-08-23,16 18 22 25 35 03 10,146,"6,786","144,415",2,0
14097,2014-08-20,03 15 20 21 23 07 09,100,"5,113","107,000",1,0
14096,2014-08-18,03 07 21 23 31 05 10,288,"11,140","184,998",8,3
14095,2014-08-16,06 22 30 31 34 05 06,219,"12,420","220,985",4,0
14094,2014-08-13,13 14 24 25 34 04 07,643,"15,349","200,484",8,1
14093,2014-08-11,03 08 30 32 34 09 11,136,"5,257","119,661",0,0
14092,2014-08-09,02 18 27 30 32 05 11,183,"6,542","141,305",1,0
14091,2014-08-06,10 16 18 29 32 02 07,179,"8,484","150,250",1,0
14090,2014-08-04,02 03 20 23 28 06 08,181,"7,598","140,422",60,60
14089,2014-08-02,02 08 12 29 30 07 12,629,"20,919","287,920",9,1
14088,2014-07-30,07 13 20 25 26 08 11,294,"8,029","162,244",2,1
14087,2014-07-28,04 07 31 33 35 09 10,101,"6,895","136,961",1,0
14086,2014-07-26,06 08 27 29 35 03 09,282,"7,382","148,437",4,0
14085,2014-07-23,06 12 13 25 29 11 12,198,"11,681","205,646",3,0
14084,2014-07-21,02 07 09 11 28 05 09,161,"9,199","167,420",7,1
14083,2014-07-19,18 20 24 33 35 05 10,195,"11,180","196,623",2,0
14082,2014-07-16,01 08 18 23 25 08 12,209,"6,770","138,506",0,0
14081,2014-07-14,03 05 08 10 25 09 12,237,"8,644","156,892",0,0
14080,2014-07-12,17 20 23 25 27 03 10,128,"6,095","133,789",3,1
14079,2014-07-09,09 10 20 31 32 06 10,169,"6,996","127,846",3,1
14078,2014-07-07,10 15 16 22 28 04 05,258,"5,797","111,098",3,0
14077,2014-07-05,09 16 26 31 32 01 05,141,"6,684","141,071",3,2
14076,2014-07-02,05 10 19 31 32 09 10,169,"7,921","135,790",1,0
14075,2014-06-30,05 07 29 32 35 04 10,258,"12,556","211,770",7,1
14074,2014-06-28,06 11 22 27 30 05 11,254,"10,987","176,683",2,0
14073,2014-06-25,04 05 07 13 35 05 06,120,"7,320","138,922",3,2
14072,2014-06-23,17 19 22 24 30 02 09,118,"5,468","114,515",1,0
14071,2014-06-21,04 14 15 22 23 01 07,177,"7,286","137,425",1,1
14070,2014-06-18,01 02 07 10 32 04 12,259,"11,758","176,519",2,0
14069,2014-06-16,16 22 27 29 31 02 09,195,"9,202","167,130",2,0
14068,2014-06-14,05 15 24 29 35 05 06,282,"10,396","183,356",3,0
14067,2014-06-11,03 18 23 24 31 03 07,109,"5,794","109,411",1,0
14066,2014-06-09,08 14 16 20 31 03 11,177,"7,097","136,529",2,0
14065,2014-06-07,07 12 19 31 33 07 12,391,"12,949","212,575",5,2
14064,2014-06-04,08 15 33 34 35 01 08,365,"14,585","217,247",3,0
14063,2014-06-02,11 17 21 23 34 03 04,76,"4,322","97,532",1,0
14062,2014-05-31,04 07 17 24 25 02 04,106,"5,010","98,376",0,0
14061,2014-05-28,04 11 17 20 29 06 10,152,"7,039","136,101",1,0
